date,open,high,low,close,volume,amount
2012-11-19,9103.20,9240.90,8940.90,9152.10,7905904640.00,68101660672.00
2012-11-20,9016.50,9130.30,8878.30,8958.90,7709072896.00,65594068992.00
2012-11-21,8912.20,9092.10,8760.10,9030.60,9569417216.00,77645733888.00
2012-11-22,8828.40,8920.90,8687.00,8784.70,8087241728.00,65934643200.00
2012-11-23,8691.00,8845.10,8614.20,8722.00,8441541120.00,69487501312.00
2012-11-26,8569.30,8659.30,8411.20,8483.40,7611961856.00,62546423808.00
2012-11-27,8456.70,8529.70,8166.70,8230.80,9910809600.00,75821228032.00
2012-11-28,8111.40,8199.60,7900.90,8009.50,8634457088.00,65317531648.00
2012-11-29,7923.60,8056.70,7757.20,7836.60,8331350016.00,63126188032.00
2012-11-30,7801.90,8008.80,7718.80,7927.30,9299747840.00,67959824384.00
2012-12-03,7977.00,8105.10,7736.50,7805.80,10008697856.00,76533047296.00
2012-12-04,7846.00,8065.60,7687.70,7995.90,10447206400.00,78875312128.00
2012-12-05,7961.30,8944.60,7958.60,8944.60,19105677312.00,146595381248.00
2012-12-06,8937.10,9103.00,8922.70,9103.00,13169262592.00,101961875456.00
2012-12-07,9095.60,9829.30,9086.90,9829.30,18832173056.00,144231104512.00
2012-12-10,10328.00,10615.50,10217.20,10495.90,19227291648.00,148874706944.00
2012-12-11,10663.60,10858.00,10510.40,10631.70,15764492288.00,123316723712.00
2012-12-12,10663.90,10856.40,10506.60,10724.30,13256782848.00,104495759360.00
2012-12-13,10651.20,10800.70,10454.90,10544.80,12380359680.00,95972548608.00
2012-12-14,11366.70,12019.80,11311.60,11906.80,25831702528.00,203117592576.00
2012-12-17,12729.50,13092.60,12545.80,12811.70,23427246080.00,193812185088.00
2012-12-18,13226.80,13566.10,13038.00,13262.30,20895012864.00,175049637888.00
2012-12-19,13329.00,13602.20,13186.40,13415.70,16158204928.00,138326474752.00
2012-12-20,13510.70,13805.70,13307.20,13666.70,16885758976.00,147140722688.00
2012-12-21,13907.70,14193.70,13673.40,13857.80,17883580416.00,161756413952.00
2012-12-24,13872.90,14192.50,13728.70,13993.50,14198468608.00,133824716800.00
2012-12-25,14567.90,15171.70,14437.10,14990.60,24587393024.00,214657646592.00
2012-12-26,15310.50,15680.60,15169.80,15502.90,21678000128.00,191377555456.00
2012-12-27,15872.50,16143.90,15526.80,15698.00,22420627456.00,195069902848.00
2012-12-28,15818.20,16201.60,15662.80,16048.80,19434942464.00,172125831168.00
2012-12-31,16443.70,16826.00,16250.40,16614.00,21100482560.00,192208551936.00
2013-01-04,17165.20,17426.10,16711.10,16993.40,22745772032.00,206965342208.00
2013-01-07,17135.10,17521.60,16922.60,17337.80,20003717120.00,181632548864.00
2013-01-08,17648.80,18027.30,17357.00,17762.10,22138726400.00,208991436800.00
2013-01-09,17959.90,18328.40,17692.10,18030.10,22243878912.00,206730526720.00
2013-01-10,18097.90,18483.40,17905.80,18206.70,20836337664.00,187547828224.00
2013-01-11,18394.00,18633.00,17820.50,17991.00,22276444160.00,202621566976.00
2013-01-14,18402.00,19283.80,18272.10,19154.70,25408552960.00,242028085248.00
2013-01-15,19820.00,20398.20,19616.40,20084.70,29461614592.00,278350331904.00
2013-01-16,20455.20,20828.60,19956.60,20433.00,27097163776.00,254477303808.00
2013-01-17,20300.30,20607.30,19858.70,20094.10,20725473280.00,196380999680.00
2013-01-18,20181.50,20669.50,19951.10,20434.50,21947576320.00,203113611264.00
2013-01-21,20589.90,20983.50,20273.20,20688.80,23295965184.00,215936221184.00
2013-01-22,20926.50,21246.40,20348.30,20665.70,25435865088.00,235275845632.00
2013-01-23,20411.00,20833.80,20066.50,20566.60,20249264128.00,184780865536.00
2013-01-24,20896.20,21370.80,20242.60,20530.60,26767605760.00,247379181568.00
2013-01-25,20075.20,20422.10,19742.50,20029.40,15902434304.00,151050567680.00
2013-01-28,20139.70,20840.60,20007.80,20692.50,21042618368.00,206699298816.00
2013-01-29,20912.10,21416.60,20659.30,21110.70,23499825152.00,228934205440.00
2013-01-30,21264.30,21675.50,20905.70,21325.90,24521517056.00,225974845440.00
2013-01-31,21324.40,21667.20,20903.90,21257.80,22722719744.00,208943595520.00
2013-02-01,21300.20,21897.00,21049.70,21640.50,22990561280.00,221700784128.00
2013-02-04,22160.20,22630.90,21632.40,22020.20,26828189696.00,261653708800.00
2013-02-05,21910.10,22522.70,21637.70,22269.00,23558504448.00,216769478656.00
2013-02-06,22030.70,22472.90,21766.50,22112.70,18984257536.00,186343800832.00
2013-02-07,21912.30,22257.70,21493.60,21928.60,18973853696.00,189081567232.00
2013-02-08,21795.70,22293.00,21575.10,21988.70,18267564032.00,184310906880.00
2013-02-18,22012.40,22332.90,21579.30,21863.20,20046845952.00,197280563200.00
2013-02-19,21774.00,22024.40,21168.50,21397.10,21081827328.00,200022294528.00
2013-02-20,21227.20,21703.70,20956.60,21537.40,19292325888.00,189208297472.00
